127.0.0.1 - - [02/Jul/2023:17:33:32 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:23 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/ HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:37 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:59 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:01 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26249
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:03 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:03 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_262626_40x40.png?ln=primefaces-trontastic HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:05 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:06 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:07 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:14 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:14 -0300] "GET /aluguel/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:19 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26239
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:35:26 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:40:26 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 10448
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:40:29 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26249
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:49:51 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26249
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:49:51 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:49:52 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26244
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:49:54 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:49:58 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:50:05 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26254
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:50:49 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26245
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:50:51 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29105
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:50:52 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26250
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:50:54 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:51:00 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:51:03 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26245
